=================================================================================================
                                              Kernel Shape      Output Shape  \
Layer                                                                          
0_data_bn                                            [150]      [1, 150, 64]   
1_l1.gcn1.convs.0.Conv2d_conv1                [3, 8, 1, 1]    [2, 8, 64, 25]   
2_l1.gcn1.convs.0.Conv2d_conv2                [3, 8, 1, 1]    [2, 8, 64, 25]   
3_l1.gcn1.convs.0.Conv2d_conv3               [3, 64, 1, 1]   [2, 64, 64, 25]   
4_l1.gcn1.convs.0.Softmax_softmax                        -      [16, 25, 25]   
5_l1.gcn1.convs.0.Tanh_tanh                              -    [2, 8, 25, 25]   
6_l1.gcn1.convs.0.Conv2d_conv4               [8, 64, 1, 1]   [2, 64, 25, 25]   
7_l1.gcn1.convs.1.Conv2d_conv1                [3, 8, 1, 1]    [2, 8, 64, 25]   
8_l1.gcn1.convs.1.Conv2d_conv2                [3, 8, 1, 1]    [2, 8, 64, 25]   
9_l1.gcn1.convs.1.Conv2d_conv3               [3, 64, 1, 1]   [2, 64, 64, 25]   
10_l1.gcn1.convs.1.Softmax_softmax                       -      [16, 25, 25]   
11_l1.gcn1.convs.1.Tanh_tanh                             -    [2, 8, 25, 25]   
12_l1.gcn1.convs.1.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
13_l1.gcn1.convs.2.Conv2d_conv1               [3, 8, 1, 1]    [2, 8, 64, 25]   
14_l1.gcn1.convs.2.Conv2d_conv2               [3, 8, 1, 1]    [2, 8, 64, 25]   
15_l1.gcn1.convs.2.Conv2d_conv3              [3, 64, 1, 1]   [2, 64, 64, 25]   
16_l1.gcn1.convs.2.Softmax_softmax                       -      [16, 25, 25]   
17_l1.gcn1.convs.2.Tanh_tanh                             -    [2, 8, 25, 25]   
18_l1.gcn1.convs.2.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
19_l1.gcn1.BatchNorm2d_bn                             [64]   [2, 64, 64, 25]   
20_l1.gcn1.down.Conv2d_0                     [3, 64, 1, 1]   [2, 64, 64, 25]   
21_l1.gcn1.down.BatchNorm2d_1                         [64]   [2, 64, 64, 25]   
22_l1.gcn1.ReLU_relu                                     -   [2, 64, 64, 25]   
23_l1.tcn1.branches.0.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
24_l1.tcn1.branches.0.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
25_l1.tcn1.branches.0.ReLU_2                             -   [2, 16, 64, 25]   
26_l1.tcn1.branches.0.3.Conv2d_conv         [16, 16, 5, 1]   [2, 16, 64, 25]   
27_l1.tcn1.branches.0.3.BatchNorm2d_bn                [16]   [2, 16, 64, 25]   
28_l1.tcn1.branches.1.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
29_l1.tcn1.branches.1.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
30_l1.tcn1.branches.1.ReLU_2                             -   [2, 16, 64, 25]   
31_l1.tcn1.branches.1.3.Conv2d_conv         [16, 16, 5, 1]   [2, 16, 64, 25]   
32_l1.tcn1.branches.1.3.BatchNorm2d_bn                [16]   [2, 16, 64, 25]   
33_l1.tcn1.branches.2.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
34_l1.tcn1.branches.2.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
35_l1.tcn1.branches.2.ReLU_2                             -   [2, 16, 64, 25]   
36_l1.tcn1.branches.2.MaxPool2d_3                        -   [2, 16, 64, 25]   
37_l1.tcn1.branches.2.BatchNorm2d_4                   [16]   [2, 16, 64, 25]   
38_l1.tcn1.branches.3.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
39_l1.tcn1.branches.3.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
40_l1.ReLU_relu                                          -   [2, 64, 64, 25]   
41_l2.gcn1.convs.0.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
42_l2.gcn1.convs.0.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
43_l2.gcn1.convs.0.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
44_l2.gcn1.convs.0.Softmax_softmax                       -      [16, 25, 25]   
45_l2.gcn1.convs.0.Tanh_tanh                             -    [2, 8, 25, 25]   
46_l2.gcn1.convs.0.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
47_l2.gcn1.convs.1.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
48_l2.gcn1.convs.1.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
49_l2.gcn1.convs.1.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
50_l2.gcn1.convs.1.Softmax_softmax                       -      [16, 25, 25]   
51_l2.gcn1.convs.1.Tanh_tanh                             -    [2, 8, 25, 25]   
52_l2.gcn1.convs.1.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
53_l2.gcn1.convs.2.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
54_l2.gcn1.convs.2.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
55_l2.gcn1.convs.2.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
56_l2.gcn1.convs.2.Softmax_softmax                       -      [16, 25, 25]   
57_l2.gcn1.convs.2.Tanh_tanh                             -    [2, 8, 25, 25]   
58_l2.gcn1.convs.2.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
59_l2.gcn1.BatchNorm2d_bn                             [64]   [2, 64, 64, 25]   
60_l2.gcn1.ReLU_relu                                     -   [2, 64, 64, 25]   
61_l2.tcn1.branches.0.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
62_l2.tcn1.branches.0.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
63_l2.tcn1.branches.0.ReLU_2                             -   [2, 16, 64, 25]   
64_l2.tcn1.branches.0.3.Conv2d_conv         [16, 16, 5, 1]   [2, 16, 64, 25]   
65_l2.tcn1.branches.0.3.BatchNorm2d_bn                [16]   [2, 16, 64, 25]   
66_l2.tcn1.branches.1.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
67_l2.tcn1.branches.1.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
68_l2.tcn1.branches.1.ReLU_2                             -   [2, 16, 64, 25]   
69_l2.tcn1.branches.1.3.Conv2d_conv         [16, 16, 5, 1]   [2, 16, 64, 25]   
70_l2.tcn1.branches.1.3.BatchNorm2d_bn                [16]   [2, 16, 64, 25]   
71_l2.tcn1.branches.2.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
72_l2.tcn1.branches.2.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
73_l2.tcn1.branches.2.ReLU_2                             -   [2, 16, 64, 25]   
74_l2.tcn1.branches.2.MaxPool2d_3                        -   [2, 16, 64, 25]   
75_l2.tcn1.branches.2.BatchNorm2d_4                   [16]   [2, 16, 64, 25]   
76_l2.tcn1.branches.3.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
77_l2.tcn1.branches.3.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
78_l2.ReLU_relu                                          -   [2, 64, 64, 25]   
79_l3.gcn1.convs.0.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
80_l3.gcn1.convs.0.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
81_l3.gcn1.convs.0.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
82_l3.gcn1.convs.0.Softmax_softmax                       -      [16, 25, 25]   
83_l3.gcn1.convs.0.Tanh_tanh                             -    [2, 8, 25, 25]   
